"outcome","pathway_id","lag","acf","pacf"
"hf","P01A",1,0.138707978681168,0.138707978681168
"hf","P01A",2,0.0204518609776865,0.00123573301158016
"hf","P01A",3,0.0274871550089283,0.0249627362753571
"hf","P01A",4,-0.0453022558657896,-0.053590365619794
"hf","P01A",5,-0.0475085165072516,-0.0351342594667041
"hf","P01A",6,0.126441468952708,0.141295534483312
"hf","P01A",7,-0.0584545815355811,-0.0963251123462338
"hf","P01A",8,-0.0496886395599737,-0.0315425703709455
"hf","P01A",9,-0.0735271981927994,-0.0749589925267147
"hf","P01A",10,-0.195739343289819,-0.168442927470174
"hf","P01A",11,-0.182754993251895,-0.131265448170805
"hf","P01A",12,-0.076042826407239,-0.0672199836670923
"hf","P02A",1,0.149508795362469,0.149508795362469
"hf","P02A",2,0.0172417973203252,-0.00522794213298571
"hf","P02A",3,0.0171792784549453,0.0157214649494246
"hf","P02A",4,-0.0489867174064819,-0.055034579911188
"hf","P02A",5,-0.0623645727816091,-0.0482379484273827
"hf","P02A",6,0.127027591184688,0.147701110488171
"hf","P02A",7,-0.0434012013415744,-0.0864950930680276
"hf","P02A",8,-0.0593820641926859,-0.0436164609421322
"hf","P02A",9,-0.0734950862039986,-0.0706211901142903
"hf","P02A",10,-0.202111058496695,-0.178157068886795
"hf","P02A",11,-0.1757803303057,-0.112517732608944
"hf","P02A",12,-0.0492922413946546,-0.042580667824396
"hf","P02B",1,0.130574062827549,0.130574062827549
"hf","P02B",2,0.0240967544323254,0.00716940391684497
"hf","P02B",3,0.0278587761427788,0.0242128267076094
"hf","P02B",4,-0.0449508268369002,-0.0527486370609405
"hf","P02B",5,-0.0416711311895998,-0.0303931150263472
"hf","P02B",6,0.126006248374268,0.138855857869134
"hf","P02B",7,-0.0659985653920651,-0.100733165155975
"hf","P02B",8,-0.043233111140437,-0.0261014745146067
"hf","P02B",9,-0.0687300155329808,-0.0705058697640365
"hf","P02B",10,-0.189235967041375,-0.162582870952652
"hf","P02B",11,-0.181479151480188,-0.136416154863519
"hf","P02B",12,-0.0865144314034614,-0.0776835079041251
"hf","P04A",1,0.174063914701548,0.174063914701548
"hf","P04A",2,0.0153192060342186,-0.0154470591719759
"hf","P04A",3,-0.0159687325454616,-0.0164911360939295
"hf","P04A",4,-0.0635828205289416,-0.0595351598441533
"hf","P04A",5,-0.0524519420348153,-0.0321500355495902
"hf","P04A",6,0.101909329507495,0.1207309455183
"hf","P04A",7,-0.0205014825695227,-0.0634770464007258
"hf","P04A",8,-0.0890218051773016,-0.0842942441364239
"hf","P04A",9,-0.0652049831918998,-0.0390962583786229
"hf","P04A",10,-0.193659057921464,-0.17451825178182
"hf","P04A",11,-0.145583066206031,-0.0842699214415168
"hf","P04A",12,0.00100266990654331,0.0131186280200052
"hf","P04B",1,0.145538027685022,0.145538027685022
"hf","P04B",2,-0.0279428320535597,-0.0501871801533871
"hf","P04B",3,0.0290999172059424,0.0416600265168455
"hf","P04B",4,-0.0927162406640425,-0.107594775515668
"hf","P04B",5,-0.0357399822917337,-0.00191799065199639
"hf","P04B",6,0.124880767843079,0.124937042169063
"hf","P04B",7,-0.050972615268483,-0.0883816504976326
"hf","P04B",8,-0.0787036800019579,-0.0567831275219755
"hf","P04B",9,-0.0361993307890396,-0.0364005584843346
"hf","P04B",10,-0.196441684213876,-0.172088921178645
"hf","P04B",11,-0.122777056561303,-0.0739625746404362
"hf","P04B",12,-0.0551493358642555,-0.078655933887996
"hf","P04C",1,0.17900373209176,0.17900373209176
"hf","P04C",2,0.0201381724868262,-0.0122982275567956
"hf","P04C",3,-0.0148040295145773,-0.0167922634030786
"hf","P04C",4,-0.0610756923133779,-0.0570560517026105
"hf","P04C",5,-0.0659839190128698,-0.0464431114943658
"hf","P04C",6,0.102908107780606,0.128013875176617
"hf","P04C",7,-0.0287980852443265,-0.0744941136539818
"hf","P04C",8,-0.0792852850737273,-0.0710779160684044
"hf","P04C",9,-0.0699540830682564,-0.0482507488259621
"hf","P04C",10,-0.195238184582863,-0.175881639117806
"hf","P04C",11,-0.140471535347855,-0.0716680669978451
"hf","P04C",12,0.0013647020776246,0.0110545588617595
"hf","P02",1,0.124345905737896,0.124345905737896
"hf","P02",2,0.0239127685183419,0.00858358277983207
"hf","P02",3,0.0224108920160849,0.0186859017517116
"hf","P02",4,-0.0469300078757384,-0.0530044990342428
"hf","P02",5,-0.0263824926459424,-0.0149978704126647
"hf","P02",6,0.118786879633361,0.127290121503134
"hf","P02",7,-0.0738638944768494,-0.104920940205815
"hf","P02",8,-0.0405348258723549,-0.0241667585338892
"hf","P02",9,-0.0577442660641999,-0.056106130045667
"hf","P02",10,-0.171791538197277,-0.147471690718732
"hf","P02",11,-0.170285643371623,-0.136920601614874
"hf","P02",12,-0.0888091973142805,-0.077883491907642
"hf","P04",1,0.14001063930305,0.14001063930305
"hf","P04",2,-0.0226430371714972,-0.0430907228293514
"hf","P04",3,0.0329075779673006,0.0431725144222493
"hf","P04",4,-0.0892083818487716,-0.103648173867692
"hf","P04",5,-0.044122369608467,-0.0133487936419267
"hf","P04",6,0.11835412196484,0.122028004195672
"hf","P04",7,-0.0464017715905385,-0.0803201490107326
"hf","P04",8,-0.0637715557208396,-0.0442218731914618
"hf","P04",9,-0.0328414708216381,-0.0385278669512713
"hf","P04",10,-0.18902501670957,-0.165119010214455
"hf","P04",11,-0.110722738123556,-0.0615125093672608
"hf","P04",12,-0.047324515532667,-0.0672765506516385
