"pathway_id","pollution_stage","aic","theta","converged","family"
"P01","none",34288.6700393381,26.1830024797383,TRUE,"negbin/glm/lm"
"P02","none",34210.279915181,26.9674450506051,TRUE,"negbin/glm/lm"
"P03","none",34216.6794331691,26.8996875669516,TRUE,"negbin/glm/lm"
"P04","none",34182.6773653456,27.2615340393792,TRUE,"negbin/glm/lm"
"P05","none",34288.6409951005,26.2018195428904,TRUE,"negbin/glm/lm"
"P06","none",34288.3522416097,26.1854736731086,TRUE,"negbin/glm/lm"
"P07","none",34267.0403102254,26.4440624895741,TRUE,"negbin/glm/lm"
"P08","none",34214.4904617101,26.9284305916014,TRUE,"negbin/glm/lm"
"P09","none",40362.509599102,3.29510247263702,TRUE,"negbin/glm/lm"
"P10","none",33539.5428482326,34.703373294445,TRUE,"negbin/glm/lm"
"P11","none",34210.279915181,26.9674450506051,TRUE,"negbin/glm/lm"
"P11","NO2",34207.0298101638,27.0197540707656,TRUE,"negbin/glm/lm"
"P11","PM25",34211.3778857136,26.9772405664878,TRUE,"negbin/glm/lm"
"P11","O3",34212.1945086922,26.9679344893608,TRUE,"negbin/glm/lm"
"P11","multi",34196.7257225596,27.1662884036218,TRUE,"negbin/glm/lm"
"P12","none",34193.1012695094,27.1588737273783,TRUE,"negbin/glm/lm"
"P14","none",31281.2222688598,27.9505938169823,TRUE,"negbin/glm/lm"
"P15","none",34213.9109155748,26.9096966429201,TRUE,"negbin/glm/lm"
"P16","none",21485.0128066302,34.3826124831263,TRUE,"negbin/glm/lm"
"P17","none",34212.2798610785,26.9674460667861,TRUE,"negbin/glm/lm"
"P18","none",34208.9048516003,26.983618053179,TRUE,"negbin/glm/lm"
