date,month_id,tmin,tmax,tv_guo2016_0_1,tv_guo2016_0_7,dtr
2013-01-01,2013-01,10.8,17.4,4.320012,4.349286,6.6
2013-01-02,2013-01,14.9,19.3,3.67242,4.378204,4.4
2013-01-03,2013-01,14.5,19.1,2.604483,4.291032,4.6
2013-01-04,2013-01,11.3,14.6,3.206634,4.20412,3.3
2013-01-05,2013-01,11.9,17,2.626785,3.720372,5.1
2013-01-06,2013-01,13.9,17.1,2.531633,3.491364,3.2
2013-01-07,2013-01,12.7,17.5,2.366432,3.321891,4.8
2013-01-08,2013-01,16,20.3,3.165833,2.925342,4.3
2013-01-09,2013-01,14.6,18.3,2.515287,2.705026,3.7
2013-01-10,2013-01,13.1,16.3,2.238117,2.619383,3.2
2013-01-11,2013-01,14.6,18.8,2.445404,2.590495,4.2
2013-01-12,2013-01,14.1,18.7,2.548856,2.468932,4.6
2013-01-13,2013-01,14.1,19.2,2.807579,2.40651,5.1
2013-01-14,2013-01,12.8,18.7,3.225937,2.563299,5.9
2013-01-15,2013-01,14.1,17.1,2.703547,2.445404,3
2013-01-16,2013-01,14.9,21.4,3.272486,2.602307,6.5
2013-01-17,2013-01,15.2,19.6,3.233548,2.665388,4.4
2013-01-18,2013-01,13.3,16.6,2.653771,2.649277,3.3
2013-01-19,2013-01,12.9,17.4,2.281082,2.698634,4.5
2013-01-20,2013-01,15.8,19.1,2.636917,2.666302,3.3
2013-01-21,2013-01,18.9,22.8,2.864146,3.016814,3.9
2013-01-22,2013-01,18.9,25.6,3.266497,3.514446,6.7
2013-01-23,2013-01,16.8,20,3.758878,3.423546,3.2
2013-01-24,2013-01,16.6,21.5,2.418505,3.350398,4.9
2013-01-25,2013-01,15.9,20.8,2.857738,3.359458,4.9
2013-01-26,2013-01,16.3,19.8,2.464413,3.110942,3.5
2013-01-27,2013-01,15.5,17.7,1.883923,2.835372,2.2
2013-01-28,2013-01,14.2,18.6,2.011633,2.974776,4.4
2013-01-29,2013-01,16,21.2,3.057232,2.927542,5.2
2013-01-30,2013-01,16.6,20.4,2.629956,2.325645,3.8
2013-01-31,2013-01,16.9,20.9,2.264214,2.384105,4
2013-02-01,2013-02,17.4,24.9,3.705289,2.798147,7.5
2013-02-02,2013-02,18.9,26,4.282523,3.271843,7.1
2013-02-03,2013-02,18.2,19.7,3.586084,3.206029,1.5
2013-02-04,2013-02,19.1,23.3,2.236627,3.209199,4.2
2013-02-05,2013-02,20.3,25.2,2.782535,3.142796,4.9
2013-02-06,2013-02,19.3,24.6,2.982728,3.113137,5.3
2013-02-07,2013-02,18.1,20.6,2.824299,2.999528,2.5
2013-02-08,2013-02,14.4,18.7,2.595509,3.307359,4.3
2013-02-09,2013-02,11.9,15.8,2.836665,3.821992,3.9
2013-02-10,2013-02,14,18.3,2.716616,3.665873,4.3
2013-02-11,2013-02,16,19.6,2.479751,3.730594,3.6
2013-02-12,2013-02,16.3,22.8,3.197264,3.735678,6.5
2013-02-13,2013-02,15.6,20.8,3.486522,3.362638,5.2
2013-02-14,2013-02,16.7,21.2,2.840628,2.979262,4.5
2013-02-15,2013-02,18,24.4,3.448067,3.364564,6.4
2013-02-16,2013-02,16.2,19.4,3.51947,3.288946,3.2
2013-02-17,2013-02,16.5,21,2.320022,2.906086,4.5
2013-02-18,2013-02,18.5,25.4,3.8371,3.103009,6.9
2013-02-19,2013-02,17.8,26.2,4.437999,3.457552,8.4
2013-02-20,2013-02,16,19,4.473254,3.387225,3
2013-02-21,2013-02,16.4,21.4,2.513961,3.348376,5
2013-02-22,2013-02,16.2,22.4,3.259857,3.430549,6.2
2013-02-23,2013-02,16.2,21.8,3.415162,3.334466,5.6
2013-02-24,2013-02,16.3,20.8,2.944345,3.346335,4.5
2013-02-25,2013-02,17.3,23.1,3.144705,3.406171,5.8
2013-02-26,2013-02,19.1,23.8,3.131959,3.236845,4.7
2013-02-27,2013-02,21,25.4,2.815878,3.114884,4.4
2013-02-28,2013-02,18.3,21.9,2.93087,3.00907,3.6
2013-03-01,2013-03,18.2,22,2.136976,2.913846,3.8
2013-03-02,2013-03,15.1,21.4,3.187868,2.987188,6.3
2013-03-03,2013-03,13.6,17.4,3.397425,3.289523,3.8
2013-03-04,2013-03,13.2,21.7,3.96432,3.608826,8.5
2013-03-05,2013-03,15.6,22.3,4.502592,3.65486,6.7
2013-03-06,2013-03,16.3,23.6,4.086155,3.718938,7.3
2013-03-07,2013-03,17.2,24.9,4.377975,3.660641,7.7
2013-03-08,2013-03,17.6,26.4,4.805119,4.070539,8.8
2013-03-09,2013-03,18.1,26.1,4.855581,4.380787,8
