month_id,tv_guo2016_0_1_mean,tv_guo2016_0_7_mean,tv_guo2016_0_1_days,high_tv_guo2016_0_1_days,dtr_mean,high_tv_threshold_tv0_1_p90
2013-01,2.791416,3.064052,31,1,4.345161,3.772157
2013-02,3.169489,3.288506,28,4,4.910714,3.772157
2013-03,3.12943,3.352203,31,9,5.025806,3.772157
2013-04,2.723329,2.909656,30,5,4.256667,3.772157
2013-05,2.693199,2.843195,31,1,4.203226,3.772157
2013-06,2.61666,2.827979,30,1,4.29,3.772157
2013-07,2.898619,2.69189,31,1,4.835484,3.772157
2013-08,2.768797,2.72347,31,1,4.603226,3.772157
2013-09,2.747429,2.778325,30,1,4.566667,3.772157
2013-10,2.916858,2.730318,31,2,4.916129,3.772157
2013-11,2.544624,2.601901,30,2,4.1,3.772157
2013-12,2.804996,3.020681,31,1,4.567742,3.772157
2014-01,3.145255,3.189472,31,4,5.087097,3.772157
2014-02,2.992193,3.862662,28,5,4.371429,3.772157
2014-03,2.547474,2.900944,31,4,3.896774,3.772157
2014-04,2.408329,2.631181,30,0,3.833333,3.772157
2014-05,2.432498,2.668664,31,2,3.945161,3.772157
2014-06,2.664726,2.50776,30,0,4.456667,3.772157
2014-07,2.98544,2.760832,31,0,4.970968,3.772157
2014-08,3.14497,3.054164,31,4,5.203226,3.772157
2014-09,2.910569,2.714091,30,0,4.97,3.772157
2014-10,2.736197,2.685753,31,2,4.570968,3.772157
2014-11,2.13975,2.22706,30,0,3.39,3.772157
2014-12,2.779836,3.026964,31,3,4.312903,3.772157
2015-01,2.781177,2.866355,31,2,4.416129,3.772157
2015-02,2.246921,2.338131,28,1,3.596429,3.772157
2015-03,2.268506,2.619323,31,1,3.509677,3.772157
2015-04,3.257438,3.5761,30,9,5.3,3.772157
2015-05,2.729205,2.869894,31,0,4.354839,3.772157
2015-06,2.782384,2.650323,30,1,4.653333,3.772157
2015-07,2.728139,2.662572,31,1,4.596774,3.772157
2015-08,2.982204,2.944304,31,2,4.929032,3.772157
2015-09,2.618743,2.425324,30,0,4.41,3.772157
2015-10,2.681058,2.812575,31,1,4.33871,3.772157
2015-11,2.302311,2.565174,30,1,3.64,3.772157
2015-12,2.044738,2.789049,31,0,3.177419,3.772157
2016-01,2.304253,2.849896,31,2,3.374194,3.772157
2016-02,3.079166,3.498159,29,6,4.865517,3.772157
2016-03,2.883972,3.496411,31,6,4.33871,3.772157
2016-04,2.688109,2.968833,30,1,4.156667,3.772157
2016-05,2.568676,2.69087,31,3,4.187097,3.772157
2016-06,2.926324,2.764201,30,3,4.903333,3.772157
2016-07,3.154908,3.009788,31,3,5.274194,3.772157
2016-08,2.785392,2.860829,31,1,4.541935,3.772157
2016-09,2.662016,2.620541,30,1,4.32,3.772157
2016-10,2.484617,2.553953,31,0,4.1,3.772157
2016-11,2.686291,3.207092,30,3,4.176667,3.772157
2016-12,2.62281,2.982213,31,2,4.103226,3.772157
2017-01,2.305164,2.650637,31,0,3.541935,3.772157
2017-02,3.216185,3.347408,28,10,5.125,3.772157
2017-03,2.884421,3.140994,31,7,4.393548,3.772157
2017-04,3.128987,3.464227,30,9,4.993333,3.772157
2017-05,2.710174,2.679516,31,1,4.348387,3.772157
2017-06,2.469577,2.558314,30,0,4.076667,3.772157
2017-07,2.794586,2.712519,31,0,4.516129,3.772157
2017-08,2.91436,2.844784,31,4,4.780645,3.772157
2017-09,2.78739,2.648376,30,0,4.66,3.772157
2017-10,2.818442,2.801868,31,1,4.687097,3.772157
2017-11,2.479415,2.688704,30,0,3.9,3.772157
2017-12,2.562618,2.884079,31,2,4.174194,3.772157
2018-01,2.873767,3.360564,31,8,4.374194,3.772157
2018-02,3.082946,3.393778,28,3,4.864286,3.772157
2018-03,3.519665,3.729912,31,11,5.722581,3.772157
2018-04,3.303205,3.669426,30,9,5.246667,3.772157
2018-05,3.370802,3.286882,31,8,5.606452,3.772157
2018-06,2.753328,2.845613,30,4,4.556667,3.772157
2018-07,2.858545,2.679075,31,1,4.777419,3.772157
2018-08,2.678928,2.687134,31,1,4.354839,3.772157
2018-09,2.995417,2.803947,30,4,5.01,3.772157
2018-10,2.74016,2.621082,31,2,4.558065,3.772157
2018-11,2.12371,2.264627,30,0,3.36,3.772157
2018-12,2.356088,2.746894,31,0,3.667742,3.772157
2019-01,2.439344,2.710251,31,0,3.954839,3.772157
2019-02,2.737541,2.934684,28,0,4.214286,3.772157
2019-03,2.65648,3.091472,31,5,3.945161,3.772157
2019-04,2.701705,2.998935,30,1,4.313333,3.772157
2019-05,2.290225,2.815456,31,1,3.567742,3.772157
2019-06,2.679372,2.638968,30,0,4.523333,3.772157
2019-07,2.625664,2.52491,31,0,4.351613,3.772157
2019-08,2.995378,2.965003,31,4,4.954839,3.772157
2019-09,3.022491,2.8366,30,2,5.126667,3.772157
2019-10,2.928624,2.826475,31,1,4.887097,3.772157
2019-11,3.041256,2.924506,30,2,5.123333,3.772157
2019-12,3.037144,3.136527,31,5,4.890323,3.772157
2020-01,2.645686,2.771843,31,2,4.351613,3.772157
2020-02,3.071639,3.270343,29,8,4.889655,3.772157
2020-03,2.59957,2.917262,31,1,4.074194,3.772157
2020-04,3.121107,3.261833,30,8,5.163333,3.772157
2020-05,2.815872,2.878343,31,3,4.525806,3.772157
2020-06,2.622852,2.540005,30,2,4.453333,3.772157
2020-07,2.995612,2.62344,31,3,5.048387,3.772157
2020-08,3.141105,3.158618,31,4,5.274194,3.772157
2020-09,2.792036,2.738975,30,0,4.606667,3.772157
2020-10,2.899252,2.742726,31,2,4.787097,3.772157
2020-11,2.860321,2.737353,30,1,4.716667,3.772157
2020-12,3.016743,3.185003,31,3,4.86129,3.772157
2021-01,3.418891,4.086566,31,7,5.474194,3.772157
2021-02,3.626671,3.577916,28,14,5.971429,3.772157
2021-03,2.87776,3.109636,31,6,4.596774,3.772157
2021-04,2.879886,3.027206,30,6,4.616667,3.772157
2021-05,3.096102,2.970656,31,5,5.096774,3.772157
2021-06,2.742872,2.772845,30,2,4.326667,3.772157
2021-07,2.934562,2.95425,31,3,4.925806,3.772157
2021-08,2.77338,2.627559,31,1,4.545161,3.772157
2021-09,2.950058,2.793989,30,0,4.956667,3.772157
2021-10,2.860784,3.021507,31,5,4.458065,3.772157
2021-11,3.079591,3.075797,30,6,5.1,3.772157
2021-12,2.881103,3.114282,31,2,4.567742,3.772157
2022-01,2.30957,2.413518,31,0,3.693548,3.772157
2022-02,2.66102,3.058774,28,5,4.246429,3.772157
2022-03,3.74203,3.92446,31,19,5.858065,3.772157
2022-04,3.59814,3.898609,30,12,5.63,3.772157
2022-05,2.774188,3.319072,31,5,4.4,3.772157
2022-06,2.517271,2.416437,30,0,4.17,3.772157
2022-07,2.930208,2.834365,31,4,4.967742,3.772157
2022-08,3.164491,3.142235,31,6,5.187097,3.772157
2022-09,3.183289,3.049666,30,3,5.346667,3.772157
2022-10,3.404568,3.393934,31,9,5.612903,3.772157
2022-11,2.117421,2.383841,30,1,3.403333,3.772157
2022-12,2.920296,3.22253,31,1,4.590323,3.772157
2023-01,2.934367,3.208477,31,5,4.564516,3.772157
2023-02,3.291503,3.402476,28,10,5.260714,3.772157
2023-03,2.955551,3.251541,31,7,4.764516,3.772157
2023-04,2.60907,2.760516,30,4,4.21,3.772157
2023-05,2.706711,2.930297,31,1,4.348387,3.772157
2023-06,2.888716,2.822793,30,2,4.83,3.772157
2023-07,3.009345,2.848542,31,2,5.067742,3.772157
2023-08,2.738141,2.601018,31,1,4.570968,3.772157
2023-09,2.67223,2.671718,30,0,4.376667,3.772157
2023-10,2.5946,2.799605,31,0,4.241935,3.772157
2023-11,2.743983,2.726156,30,1,4.54,3.772157
2023-12,2.915048,3.518964,31,2,4.529032,3.772157
