outcome,exposure,scenario,label,rr,rr_low,rr_high,display,interval,n_months,residual_acf1,data_status
chd,hot_nights,trend_ns8,"Time-trend spline, 8 df (sensitivity)",1.02321601892792,1.00458539229968,1.04219216147866,1.023 (1.005–1.042),excludes 1,132,0.437053313475279,HA_APPROVED_AGGREGATE
chd,hot_nights,trend_ns6,"Time-trend spline, 6 df (sensitivity)",1.02419751577508,1.00451836654623,1.04426219196617,1.024 (1.005–1.044),excludes 1,132,0.443950534468646,HA_APPROVED_AGGREGATE
chd,hot_nights,trend_ns3,"Time-trend spline, 3 df (sensitivity)",1.01088238080681,0.989757176838672,1.0324584774314,1.011 (0.990–1.032),includes 1,132,0.594849232513136,HA_APPROVED_AGGREGATE
chd,hot_nights,pre_covid,"Pre-COVID window (Jan 2013–Dec 2019, 84 months)",1.0109822438503,0.990758328483629,1.03161898113428,1.011 (0.991–1.032),includes 1,84,0.170878473199337,HA_APPROVED_AGGREGATE
chd,hot_nights,covid_phase_adjusted,COVID-phase adjusted (full 132 months),1.01321653338228,0.994162013344534,1.03263626022636,1.013 (0.994–1.033),includes 1,132,0.379930444744532,HA_APPROVED_AGGREGATE
chd,hot_nights,year_fixed_effects,Year fixed effects (sensitivity),1.02464784910213,0.999814028051564,1.05009850353438,1.025 (0.9998–1.050),includes 1,132,0.373344771674933,HA_APPROVED_AGGREGATE
chd,hot_nights,baseline_ns4,"Model 1 baseline (time-trend spline, 4 df)",1.02182421201542,1.00185374479531,1.04219276085479,1.022 (1.002–1.042),excludes 1,132,0.507802854196383,HA_APPROVED_AGGREGATE
hf,cold_days,trend_ns8,"Time-trend spline, 8 df (sensitivity)",1.06225750136188,0.994393588240467,1.13475289115271,1.062 (0.994–1.135),includes 1,132,0.113436136704067,HA_APPROVED_AGGREGATE
hf,cold_days,trend_ns6,"Time-trend spline, 6 df (sensitivity)",1.07202088429018,1.0053385719585,1.14312611532998,1.072 (1.005–1.143),excludes 1,132,0.141808025451058,HA_APPROVED_AGGREGATE
hf,cold_days,trend_ns3,"Time-trend spline, 3 df (sensitivity)",1.06647133131429,1.0052778166412,1.13138983242999,1.066 (1.005–1.131),excludes 1,132,0.256379307681565,HA_APPROVED_AGGREGATE
hf,cold_days,pre_covid,"Pre-COVID window (Jan 2013–Dec 2019, 84 months)",1.11283089052394,1.05303734075742,1.17601963669547,1.113 (1.053–1.176),excludes 1,84,-0.0464858146245072,HA_APPROVED_AGGREGATE
hf,cold_days,covid_phase_adjusted,COVID-phase adjusted (full 132 months),1.07368997741871,1.00646182472812,1.14540873710815,1.074 (1.006–1.145),excludes 1,132,-0.0212592264143022,HA_APPROVED_AGGREGATE
hf,cold_days,year_fixed_effects,Year fixed effects (sensitivity),1.06059250868813,0.996594448765144,1.12870031624114,1.061 (0.997–1.129),includes 1,132,0.0465845973057844,HA_APPROVED_AGGREGATE
hf,cold_days,baseline_ns4,"Model 1 baseline (time-trend spline, 4 df)",1.07280014928024,1.00645431800469,1.14351952165835,1.073 (1.006–1.144),excludes 1,132,0.145538027685022,HA_APPROVED_AGGREGATE
