outcome,exposure,scenario,spline_df,label,rr,rr_low,rr_high,display,excludes_1,residual_acf1,n_months,data_status
chd,hot_nights,trend_ns3,3,"Time-trend spline, 3 df",1.010882380807,0.989757176839,1.032458477431,1.011 (0.990–1.032),false,0.594849232513,132,HA_APPROVED_AGGREGATE
chd,hot_nights,baseline_ns4,4,"Model 1 (time-trend spline, 4 df)",1.021824212015,1.001853744795,1.042192760855,1.022 (1.002–1.042),true,0.507802854196,132,HA_APPROVED_AGGREGATE
chd,hot_nights,trend_ns6,6,"Time-trend spline, 6 df",1.024197515775,1.004518366546,1.044262191966,1.024 (1.005–1.044),true,0.443950534469,132,HA_APPROVED_AGGREGATE
chd,hot_nights,trend_ns8,8,"Time-trend spline, 8 df",1.023216018928,1.004585392300,1.042192161479,1.023 (1.005–1.042),true,0.437053313475,132,HA_APPROVED_AGGREGATE
chd,hot_nights,year_fixed_effects,,Year indicators,1.024647849102,0.999814028052,1.050098503534,1.025 (0.9998–1.050),false,0.373344771675,132,HA_APPROVED_AGGREGATE
hf,cold_days,trend_ns3,3,"Time-trend spline, 3 df",1.066471331314,1.005277816641,1.131389832430,1.066 (1.005–1.131),true,0.256379307682,132,HA_APPROVED_AGGREGATE
hf,cold_days,baseline_ns4,4,"Model 1 (time-trend spline, 4 df)",1.072800149280,1.006454318005,1.143519521658,1.073 (1.006–1.144),true,0.145538027685,132,HA_APPROVED_AGGREGATE
hf,cold_days,trend_ns6,6,"Time-trend spline, 6 df",1.072020884290,1.005338571958,1.143126115330,1.072 (1.005–1.143),true,0.141808025451,132,HA_APPROVED_AGGREGATE
hf,cold_days,trend_ns8,8,"Time-trend spline, 8 df",1.062257501362,0.994393588240,1.134752891153,1.062 (0.994–1.135),false,0.113436136704,132,HA_APPROVED_AGGREGATE
hf,cold_days,year_fixed_effects,,Year indicators,1.060592508688,0.996594448765,1.128700316241,1.061 (0.997–1.129),false,0.046584597306,132,HA_APPROVED_AGGREGATE
